period,revenue_usd,new_customers,churned_customers
2024-05,182000,18,4
2024-06,189500,20,5
2024-07,194200,17,6
2024-08,201300,22,4
2024-09,208900,21,5
2024-10,215600,24,7
2024-11,221100,19,6
2024-12,234800,28,5
2025-01,228400,16,8
2025-02,231900,18,6
2025-03,239500,21,5
2025-04,247200,23,5
2025-05,251800,22,6
2025-06,258400,24,7
2025-07,262100,21,8
2025-08,269700,26,5
2025-09,275300,23,7
2025-10,281900,25,6
2025-11,287400,24,8
2025-12,302100,30,6
2026-01,295800,19,9
2026-02,301400,22,7
2026-03,309200,24,6
2026-04,316800,26,7
